slug,title,description,author,date,externalUrl,tags,level
scrolly-explainer,Scrolly Deep Dive,A story about stories.,Jonathan St-Onge,2026-01-07,,"Scrolly Options, Intro Layout",2
scrolly-story-1,Split Story,Left-right layout.,Jonathan St-Onge,2026-01-01,,"Markdown Renderer, Scrolly Options",1
scrolly-story-2,Fullscreen Story,Full-screen plot layout,Jonathan St-Onge,2026-01-02,,"Dark theme, Tooltip, Tweened axis",1
thematic-story-1,Thematic Story,Not all story need scrolly-telling,Jonathan St-Onge,2026-01-03,,"Hero, IntersectObserver",1
geo-story-1,Geo Story,Full-screen layout but with maps and a data pipeline,Jonathan St-Onge,2026-01-05,,"Geo, PDP",2
dashboard-1,Dashboard,Dashboardinggg,Jonathan St-Onge,2026-01-10,,"Dashboard, PDP",1
